Skill in Portuguese,Skill In English,Frequency
Python,Python,19
SQL,SQL,13
Machine Learning,Machine Learning,13
Estatistica,Statistics,11
R,R,9
Visualização de Dados ,Data Visualization,8
Capacidade Analitica,Analytics Capacity,7
Excel,Excel,6
Comunicação,Communication,6
"Cloud (AWS, Azure ou GCP)","Cloud (AWS, Azure or GCP)",6
SAS,SAS,5
DataBricks,DataBricks,4
ETL,ETL,3
Git,Git,3
Spark ,Spark,2
BigData,BigData,2
Metodologia Agil,Agile Methodology,2
LGPD,LGPD,1
AirFlow ,AirFlow,1
Automação de análises,Analysis Automation,1
Jupyter Notebook,Jupyter Notebook,1